      8008278  New York city, NY
      3694820  Los Angeles city, CA
      2896016  Chicago city, IL
      1953631  Houston city, TX
      1517550  Philadelphia city, PA
      1321045  Phoenix city, AZ
      1223400  San Diego city, CA
      1188580  Dallas city, TX
      1144646  San Antonio city, TX
       951270  Detroit city, MI
       894943  San Jose city, CA
       781870  Indianapolis city (balance), IN
       776733  San Francisco city, CA
       735617  Jacksonville city, FL
       711470  Columbus city, OH
       656562  Austin city, TX
       651154  Baltimore city, MD
       650100  Memphis city, TN
       596974  Milwaukee city, WI
       589141  Boston city, MA
       572059  Washington city, DC
       563662  El Paso city, TX
       563374  Seattle city, WA
       554636  Denver city, CO
       545524  Nashville-Davidson (balance), TN
       540828  Charlotte city, NC
       534694  Fort Worth city, TX
       529121  Portland city, OR
       506132  Oklahoma City city, OK
       486699  Tucson city, AZ
       484674  New Orleans city, LA
       478434  Las Vegas city, NV
       478403  Cleveland city, OH
       461522  Long Beach city, CA
       448607  Albuquerque city, NM
       441545  Kansas City city, MO
       427652  Fresno city, CA
       425257  Virginia Beach city, VA
       421958  San Juan zona urbana, PR
       416474  Atlanta city, GA
       407018  Sacramento city, CA
       399484  Oakland city, CA
       396375  Mesa city, AZ
       393049  Tulsa city, OK
       390007  Omaha city, NE
       382618  Minneapolis city, MN
       371657  Honolulu CDP, HI
       362470  Miami city, FL
       360890  Colorado Springs city, CO
       348189  St. Louis city, MO
       344284  Wichita city, KS
       337977  Santa Ana city, CA
       334563  Pittsburgh city, PA
       332969  Arlington city, TX
       331285  Cincinnati city, OH
       328014  Anaheim city, CA
       313619  Toledo city, OH
       303447  Tampa city, FL
       292648  Buffalo city, NY
       287151  St. Paul city, MN
       277454  Corpus Christi city, TX
       276393  Aurora city, CO
       276093  Raleigh city, NC
       273546  Newark city, NJ
       260512  Lexington-Fayette, KY
       260283  Anchorage municipality, AK
       256231  Louisville city, KY
       255166  Riverside city, CA
       248232  St. Petersburg city, FL
       247057  Bakersfield city, CA
       243771  Stockton city, CA
       242820  Birmingham city, AL
       240055  Jersey City city, NJ
       234403  Norfolk city, VA
       227818  Baton Rouge city, LA
       226419  Hialeah city, FL
       225581  Lincoln city, NE
       223891  Greensboro city, NC
       222030  Plano city, TX
       219773  Rochester city, NY
       218812  Glendale city, AZ
       217074  Akron city, OH
       215768  Garland city, TX
       208054  Madison city, WI
       205727  Fort Wayne city, IN
       203499  Bayamón zona urbana, PR
       203413  Fremont city, CA
       202705  Scottsdale city, AZ
       201568  Montgomery city, AL
       200145  Shreveport city, LA
       199564  Lubbock city, TX
       199184  Chesapeake city, VA
       198915  Mobile city, AL
       198682  Des Moines city, IA
       197800  Grand Rapids city, MI
       197790  Richmond city, VA
       196086  Yonkers city, NY
       195629  Spokane city, WA
       195182  Augusta-Richmond County (balance), GA
       194973  Glendale city, CA
       193556  Tacoma city, WA
       191615  Irving city, TX
       189594  Huntington Beach city, CA
       189453  Arlington CDP, VA
       188856  Modesto city, CA
       187035  Durham city, NC
       186070  Paradise CDP, NV
       185951  Orlando city, FL
       185787  Boise City city, ID
       185781  Columbus city (balance), GA
       185776  Winston-Salem city, NC
       185401  San Bernardino city, CA
       184256  Jackson city, MS
       183133  Little Rock city, AR
       181743  Salt Lake City city, UT
       180480  Reno city, NV
       180150  Newport News city, VA
       176581  Chandler city, AZ
       176576  Laredo city, TX
       175381  Henderson city, NV
       173890  Knoxville city, TN
       173627  Amarillo city, TX
       173618  Providence city, RI
       173556  Chula Vista city, CA
       172648  Worcester city, MA
       170358  Oxnard city, CA
       168164  Carolina zona urbana, PR
       166179  Dayton city, OH
       165196  Garden Grove city, CA
       161029  Oceanside city, CA
       158625  Tempe city, AZ
       158216  Huntsville city, AL
       158007  Ontario city, CA
       156120  Sunrise Manor CDP, NV
       155554  Chattanooga city, TN
       155038  Ponce zona urbana, PR
       152397  Fort Lauderdale city, FL
       152082  Springfield city, MA
       151580  Springfield city, MO
       151088  Santa Clarita city, CA
       151060  Salinas city, CA
       150624  Tallahassee city, FL
       150115  Rockford city, IL
       149473  Pomona city, CA
       149222  Paterson city, NJ
       149080  Overland Park city, KS
       147595  Santa Rosa city, CA
       147306  Syracuse city, NY
       146866  Kansas City city, KS
       146437  Hampton city, VA
       146136  Metairie CDP, LA
       144126  Lakewood city, CO
       143560  Vancouver city, WA
       143072  Irvine city, CA
       142990  Aurora city, IL
       142381  Moreno Valley city, CA
       141674  Pasadena city, TX
       140030  Hayward city, CA
       139722  Brownsville city, TX
       139529  Bridgeport city, CT
       139357  Hollywood city, FL
       138247  Warren city, MI
       137946  Torrance city, CA
       137893  Eugene city, OR
       137427  Pembroke Pines city, FL
       136924  Salem city, OR
       133936  Pasadena city, CA
       133559  Escondido city, CA
       131760  Sunnyvale city, CA
       131510  Savannah city, GA
       128929  Fontana city, CA
       128821  Orange city, CA
       128358  Naperville city, IL
       128283  Alexandria city, VA
       127743  Rancho Cucamonga city, CA
       127427  Grand Prairie city, TX
       126003  Fullerton city, CA
       124966  Corona city, CA
       124943  Flint city, MI
       124523  Mesquite city, TX
       124471  Sterling Heights city, MI
       124283  East Los Angeles CDP, CA
       123975  Sioux Falls city, SD
       123626  New Haven city, CT
       122377  Topeka city, KS
       121780  Concord city, CA
       121582  Evansville city, IN
       121578  Hartford city, CT
       121015  Fayetteville city, NC
       120758  Cedar Rapids city, IA
       120568  Elizabeth city, NJ
       119128  Lansing city, MI
       118718  Lancaster city, CA
       118652  Fort Collins city, CO
       117549  Coral Springs city, FL
       117390  Spring Valley CDP, NV
       117083  Stamford city, CT
       117005  Thousand Oaks city, CA
       116760  Vallejo city, CA
       116670  Palmdale city, CA
       116278  Columbia city, SC
       115965  El Monte city, CA
       115930  Abilene city, TX
       115488  North Las Vegas city, NV
       114024  Ann Arbor city, MI
       113866  Beaumont city, TX
       113726  Waco city, TX
       113288  Independence city, MO
       112936  Peoria city, IL
       112580  Inglewood city, CA
       111454  Springfield city, IL
       111351  Simi Valley city, CA
       110257  Lafayette city, LA
       109697  Gilbert town, AZ
       109576  Carrollton city, TX
       109569  Bellevue city, WA
       108896  West Valley City city, UT
       108787  Clearwater city, FL
       108724  Costa Mesa city, CA
       108364  Peoria city, AZ
       107789  South Bend city, IN
       107323  Downey city, CA
       107271  Waterbury city, CT
       107006  Manchester city, NH
       106632  Allentown city, PA
       106414  McAllen city, TX
       106221  Joliet city, IL
       105167  Lowell city, MA
       105166  Provo city, UT
       105080  West Covina city, CA
       104197  Wichita Falls city, TX
       103717  Erie city, PA
       103621  Daly City city, CA
       103455  Clarksville city, TN
       103298  Norwalk city, CA
